#
# MD1: a minimal molecular dynamics program
#    modified version (10/08/2010)
#
# Equilibration run
#  Input sample: ../Task2/Step1_Startup/sample12.dat
#          (positions, velocities, accelerations read from file)
# Output sample: ../Task2/Step1_Startup/sampleT94.4.dat
# Number of steps:     800, time step: 0.0046, total time:      3.6800
# Number of atoms:   864
# Box size:   10.228800   10.228800   10.228800, Volume:       1070.222
# Density:    0.807309 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
     60      0.805299      1.207949     -4.974233     -3.766284      0.502397
     61      0.803880      1.205820     -4.972101     -3.766282      0.512199
     62      0.801868      1.202802     -4.969071     -3.766269      0.523951
     63      0.799438      1.199157     -4.965404     -3.766247      0.538436
     64      0.796852      1.195279     -4.961500     -3.766222      0.553770
     65      0.794418      1.191628     -4.957827     -3.766199      0.568317
     66      0.792413      1.188619     -4.954806     -3.766186      0.580212
     67      0.791016      1.186524     -4.952706     -3.766182      0.588909
     68      0.790280      1.185420     -4.951611     -3.766191      0.594173
     69      0.790145      1.185217     -4.951423     -3.766206      0.595433
     70      0.790464      1.185696     -4.951924     -3.766229      0.595148
     71      0.791020      1.186530     -4.952783     -3.766253      0.592829
     72      0.791565      1.187347     -4.953623     -3.766276      0.590820
     73      0.791866      1.187799     -4.954089     -3.766290      0.589479
     74      0.791774      1.187661     -4.953952     -3.766291      0.589569
     75      0.791253      1.186880     -4.953160     -3.766280      0.591332
     76      0.790396      1.185594     -4.951854     -3.766260      0.594601
     77      0.789379      1.184069     -4.950311     -3.766242      0.598156
     78      0.788373      1.182560     -4.948791     -3.766231      0.601399
     79      0.787478      1.181218     -4.947446     -3.766228      0.604335
     80      0.786721      1.180081     -4.946307     -3.766226      0.605814
     81      0.786107      1.179160     -4.945379     -3.766219      0.605456
     82      0.785686      1.178529     -4.944736     -3.766207      0.604256
     83      0.785562      1.178344     -4.944536     -3.766192      0.601388
     84      0.785867      1.178800     -4.944981     -3.766181      0.596519
     85      0.786702      1.180053     -4.946232     -3.766180      0.589054
     86      0.788078      1.182117     -4.948307     -3.766190      0.578559
     87      0.789886      1.184829     -4.951040     -3.766211      0.566339
     88      0.791917      1.187876     -4.954111     -3.766234      0.552788
     89      0.793949      1.190924     -4.957173     -3.766249      0.539032
     90      0.795832      1.193748     -4.960000     -3.766253      0.526397
     91      0.797528      1.196291     -4.962537     -3.766245      0.514399
     92      0.799086      1.198629     -4.964866     -3.766237      0.503238
     93      0.800583      1.200874     -4.967109     -3.766234      0.492248
     94      0.802060      1.203090     -4.969328     -3.766238      0.481997
     95      0.803497      1.205246     -4.971491     -3.766245      0.471880
     96      0.804824      1.207237     -4.973492     -3.766256      0.463321
     97      0.805946      1.208918     -4.975181     -3.766263      0.455930
     98      0.806770      1.210155     -4.976428     -3.766274      0.449529
     99      0.807213      1.210819     -4.977104     -3.766285      0.445588
    100      0.807184      1.210777     -4.977071     -3.766294      0.443896
    101      0.806595      1.209893     -4.976195     -3.766302      0.445862
    102      0.805387      1.208081     -4.974385     -3.766305      0.451597
    103      0.803582      1.205373     -4.971666     -3.766293      0.460385
    104      0.801314      1.201971     -4.968242     -3.766271      0.471437
    105      0.798838      1.198258     -4.964498     -3.766240      0.483655
    106      0.796492      1.194738     -4.960947     -3.766209      0.495570
    107      0.794634      1.191951     -4.958133     -3.766182      0.505212
    108      0.793586      1.190379     -4.956540     -3.766161      0.510144
    109      0.793575      1.190362     -4.956516     -3.766154      0.509523
    110      0.794684      1.192026     -4.958186     -3.766160      0.503711
    111      0.796832      1.195248     -4.961431     -3.766183      0.492866
    112      0.799786      1.199680     -4.965892     -3.766213      0.477766
    113      0.803230      1.204845     -4.971085     -3.766240      0.460088
    114      0.806849      1.210274     -4.976538     -3.766265      0.441566
    115      0.810385      1.215577     -4.981857     -3.766280      0.423638
    116      0.813634      1.220450     -4.986742     -3.766292      0.407891
    117      0.816431      1.224646     -4.990951     -3.766305      0.394147
    118      0.818622      1.227933     -4.994250     -3.766317      0.383348
    119      0.820050      1.230074     -4.996407     -3.766332      0.378156
    120      0.820590      1.230885     -4.997221     -3.766336      0.377618
    121      0.820213      1.230320     -4.996646     -3.766326      0.382360
    122      0.819027      1.228540     -4.994849     -3.766309      0.391384
    123      0.817214      1.225821     -4.992112     -3.766292      0.404319
    124      0.814931      1.222397     -4.988681     -3.766284      0.420034
    125      0.812275      1.218412     -4.984692     -3.766280      0.437357
    126      0.809309      1.213964     -4.980235     -3.766271      0.456385
    127      0.806139      1.209209     -4.975463     -3.766254      0.476594
    128      0.802939      1.204409     -4.970639     -3.766230      0.497017
    129      0.799933      1.199899     -4.966105     -3.766206      0.515497
    130      0.797358      1.196037     -4.962222     -3.766185      0.532020
    131      0.795409      1.193114     -4.959286     -3.766172      0.544867
    132      0.794190      1.191285     -4.957457     -3.766172      0.553897
    133      0.793684      1.190527     -4.956711     -3.766184      0.558906
    134      0.793757      1.190636     -4.956842     -3.766206      0.560626
    135      0.794182      1.191273     -4.957504     -3.766232      0.560143
    136      0.794676      1.192014     -4.958272     -3.766257      0.559564
    137      0.794963      1.192445     -4.958721     -3.766276      0.559320
    138      0.794819      1.192229     -4.958518     -3.766289      0.561064
    139      0.794102      1.191153     -4.957447     -3.766294      0.565579
    140      0.792756      1.189133     -4.955426     -3.766292      0.572794
    141      0.790787      1.186181     -4.952471     -3.766290      0.582908
    142      0.788246      1.182370     -4.948655     -3.766286      0.595834
    143      0.785208      1.177812     -4.944095     -3.766282      0.611322
    144      0.781769      1.172654     -4.938930     -3.766275      0.628567
    145      0.778081      1.167122     -4.933381     -3.766259      0.646893
    146      0.774409      1.161613     -4.927837     -3.766224      0.664100
    147      0.771165      1.156747     -4.922932     -3.766185      0.679314
    148      0.768793      1.153189     -4.919358     -3.766168      0.690116
    149      0.767511      1.151266     -4.917453     -3.766187      0.695021
    150      0.767186      1.150779     -4.916998     -3.766218      0.694863
    151      0.767526      1.151288     -4.917522     -3.766233      0.691422
    152      0.768313      1.152470     -4.918704     -3.766235      0.684570
    153      0.769450      1.154175     -4.920411     -3.766236      0.676017
    154      0.770857      1.156286     -4.922528     -3.766242      0.666060
    155      0.772422      1.158634     -4.924879     -3.766246      0.655189
    156      0.774030      1.161045     -4.927293     -3.766249      0.643499
    157      0.775600      1.163399     -4.929647     -3.766247      0.631645
    158      0.777097      1.165646     -4.931890     -3.766244      0.619944
